Code du bâtiment ;Typologie;type d’alimentation ;Surface (m2);Puissance Souscrite (KVA)
3275;Animation, accueil;électricité usages spécifiques;50;9
3277;Animation, accueil;électricité usages spécifiques;60;6
3270;Animation, accueil;électricité usages spécifiques;96;6
3042;Animation, accueil;électricité usages spécifiques;150;9
3271;Animation, accueil;électricité usages spécifiques;158;9
3280;Animation, accueil;électricité usages spécifiques;200;36
3069;Animation, accueil;électricité usages spécifiques;311,13;6
9764;Animation, accueil;électricité usages spécifiques;436;37
4816;Animation, accueil;électricité usages spécifiques;450;36
3035;Animation, accueil;électricité usages spécifiques;585;42
3034;Animation, accueil;électricité usages spécifiques;600;36
3053;Animation, accueil;électricité usages spécifiques;600;42
3078;Animation, accueil;électricité usages spécifiques;626;36
3054;Animation, accueil;électricité usages spécifiques;675;9
6412;Animation, accueil;électricité usages spécifiques;748;49
3037;Animation, accueil;électricité usages spécifiques;767,67;24
8252;Animation, accueil;électricité usages spécifiques;778,23;36
3036;Animation, accueil;électricité usages spécifiques;810;24
3072;Animation, accueil;électricité usages spécifiques;810;42
6413;Animation, accueil;électricité usages spécifiques;820;49
6418;Animation, accueil;électricité usages spécifiques;1116;54
3045;Animation, accueil;électricité usages spécifiques;1275;42
3039;Animation, accueil;électricité usages spécifiques;1346;42
3051;Animation, accueil;électricité usages spécifiques;1350;30
3044;Animation, accueil;électricité usages spécifiques;1350;43
9075;Animation, accueil;électricité usages spécifiques;1350;54
3058;Animation, accueil;électricité usages spécifiques;1357,5;42
3075;Animation, accueil;électricité usages spécifiques;1470;42
3311;Animation, accueil;électricité usages spécifiques;1473;37
6410;Animation, accueil;électricité usages spécifiques;1504;42
3059;Animation, accueil;électricité usages spécifiques;1550;48
3032;Animation, accueil;électricité usages spécifiques;1551;91
3061;Animation, accueil;électricité usages spécifiques;1660;42
3079;Animation, accueil;électricité usages spécifiques;1696;72
3065;Animation, accueil;électricité usages spécifiques;1905;48
3064;Animation, accueil;électricité usages spécifiques;2040;42
3040;Animation, accueil;électricité usages spécifiques;2250;54
9766;Animation, accueil;électricité usages spécifiques;2557;130
3063;Animation, accueil;électricité usages spécifiques;2850;66
6260;Animation, accueil;électricité usages spécifiques;3600;36
7776;Animation, accueil;électricité usages spécifiques;15165;12
3274;Animation, accueil;électricité spécifique et chauffage;147;12
3038;Animation, accueil;électricité spécifique et chauffage;260;42
3288;Animation, accueil;électricité spécifique et chauffage;286;42
3071;Animation, accueil;électricité spécifique et chauffage;322,5;42
3292;Animation, accueil;électricité spécifique et chauffage;464,05;48
3031;Animation, accueil;électricité spécifique et chauffage;510;42
3076;Animation, accueil;électricité spécifique et chauffage;600;42
6;Animation, accueil;électricité spécifique et chauffage;1370,45;119
9;Archives;électricité usages spécifiques;2181;90
8;Archives;électricité usages spécifiques;14183,04;145
5973;Atelier/Dépôt/Magasin;électricité usages spécifiques;4,75;3
6503;Atelier/Dépôt/Magasin;électricité usages spécifiques;19,17;3
6514;Atelier/Dépôt/Magasin;électricité usages spécifiques;38,03;3
6502;Atelier/Dépôt/Magasin;électricité usages spécifiques;50;6
6366;Atelier/Dépôt/Magasin;électricité usages spécifiques;97,39;36
7092;Atelier/Dépôt/Magasin;électricité usages spécifiques;114,05;6
5282;Atelier/Dépôt/Magasin;électricité usages spécifiques;198,47;3
4918;Atelier/Dépôt/Magasin;électricité usages spécifiques;434,5;18
3995;Atelier/Dépôt/Magasin;électricité usages spécifiques;558,22;48
3999;Atelier/Dépôt/Magasin;électricité usages spécifiques;840;42
